# H0=6.9330e+01 Om0=2.8800e-01 Ob0=4.7200e-02 Ol0=7.1200e-01 | N=2000
# redshift scafa dcom[Mpc] vcom[Mpc3] tlook[Myr] efunc
1.69088494e-05 9.99983091e-01 7.31159241e-02 1.63728593e-03 2.38470234e-01 1.00000730e+00
1.70653837e-05 9.99982935e-01 7.37927950e-02 1.68317972e-03 2.40677853e-01 1.00000737e+00
1.72233671e-05 9.99982777e-01 7.44759319e-02 1.73035992e-03 2.42905910e-01 1.00000744e+00
1.73828131e-05 9.99982617e-01 7.51653929e-02 1.77886261e-03 2.45154592e-01 1.00000751e+00
1.75437351e-05 9.99982457e-01 7.58612366e-02 1.82872484e-03 2.47424091e-01 1.00000758e+00
1.77061469e-05 9.99982294e-01 7.65635221e-02 1.87998473e-03 2.49714600e-01 1.00000765e+00
1.78700622e-05 9.99982130e-01 7.72723089e-02 1.93268145e-03 2.52026312e-01 1.00000772e+00
1.80354949e-05 9.99981965e-01 7.79876573e-02 1.98685528e-03 2.54359425e-01 1.00000779e+00
1.82024591e-05 9.99981798e-01 7.87096281e-02 2.04254762e-03 2.56714135e-01 1.00000786e+00
1.83709691e-05 9.99981629e-01 7.94382824e-02 2.09980104e-03 2.59090645e-01 1.00000794e+00
1.85410390e-05 9.99981459e-01 8.01736822e-02 2.15865929e-03 2.61489154e-01 1.00000801e+00
1.87126833e-05 9.99981288e-01 8.09158900e-02 2.21916736e-03 2.63909867e-01 1.00000808e+00
1.88859167e-05 9.99981114e-01 8.16649687e-02 2.28137149e-03 2.66352989e-01 1.00000816e+00
1.90607537e-05 9.99980940e-01 8.24209820e-02 2.34531922e-03 2.68818728e-01 1.00000823e+00
1.92372093e-05 9.99980763e-01 8.31839941e-02 2.41105944e-03 2.71307292e-01 1.00000831e+00
1.94152985e-05 9.99980585e-01 8.39540697e-02 2.47864237e-03 2.73818894e-01 1.00000839e+00
1.95950363e-05 9.99980405e-01 8.47312742e-02 2.54811968e-03 2.76353747e-01 1.00000847e+00
1.97764381e-05 9.99980224e-01 8.55156737e-02 2.61954446e-03 2.78912066e-01 1.00000854e+00
1.99595192e-05 9.99980041e-01 8.63073347e-02 2.69297130e-03 2.81494067e-01 1.00000862e+00
2.01442952e-05 9.99979856e-01 8.71063245e-02 2.76845632e-03 2.84099971e-01 1.00000870e+00
2.03307817e-05 9.99979670e-01 8.79127110e-02 2.84605722e-03 2.86729999e-01 1.00000878e+00
2.05189946e-05 9.99979481e-01 8.87265624e-02 2.92583329e-03 2.89384373e-01 1.00000886e+00
2.07089500e-05 9.99979291e-01 8.95479481e-02 3.00784551e-03 2.92063320e-01 1.00000895e+00
2.09006638e-05 9.99979100e-01 9.03769378e-02 3.09215657e-03 2.94767066e-01 1.00000903e+00
2.10941525e-05 9.99978906e-01 9.12136017e-02 3.17883089e-03 2.97495842e-01 1.00000911e+00
2.12894324e-05 9.99978711e-01 9.20580111e-02 3.26793472e-03 3.00249878e-01 1.00000920e+00
2.14865201e-05 9.99978514e-01 9.29102375e-02 3.35953616e-03 3.03029410e-01 1.00000928e+00
2.16854323e-05 9.99978315e-01 9.37703533e-02 3.45370522e-03 3.05834672e-01 1.00000937e+00
2.18861860e-05 9.99978114e-01 9.46384317e-02 3.55051387e-03 3.08665903e-01 1.00000945e+00
2.20887981e-05 9.99977912e-01 9.55145462e-02 3.65003610e-03 3.11523344e-01 1.00000954e+00
2.22932860e-05 9.99977707e-01 9.63987713e-02 3.75234796e-03 3.14407236e-01 1.00000963e+00
2.24996669e-05 9.99977501e-01 9.72911821e-02 3.85752767e-03 3.17317826e-01 1.00000972e+00
2.27079584e-05 9.99977293e-01 9.81918543e-02 3.96565559e-03 3.20255359e-01 1.00000981e+00
2.29181781e-05 9.99977082e-01 9.91008645e-02 4.07681438e-03 3.23220086e-01 1.00000990e+00
2.31303440e-05 9.99976870e-01 1.00018290e-01 4.19108898e-03 3.26212258e-01 1.00000999e+00
2.33444740e-05 9.99976656e-01 1.00944208e-01 4.30856673e-03 3.29232129e-01 1.00001008e+00
